text,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,category,stance
هنغاريا توقع عقدا اقتناء لقاح سبوتنيك الروسي ضد كورونا,0,0,0,0,0,1,0,1,1,0,0,0,1
تركيا وزير الصحه يتلقى اولى جرعات لقاح كورونا الصيني,0,0,0,0,0,1,1,1,0,0,0,1,1
ابوظبي الإمارات تعلن توفير لقاح كورونا للجميع بدءا سن عاما,0,0,0,0,0,1,0,1,0,0,0,0,1
للفيروسات نهايه اهميه وجود تطعيم فعال ضد كورونا وام برق الإمارات,0,0,0,0,0,1,0,0,0,0,1,0,0
نوال الزغبي تلتقي لطيفه دبي وتوضح حقيقه تلقيها لقاح كورونا,0,0,0,0,0,1,0,1,0,0,0,1,0
صوره تغني الف كلمه حفظ الله خادم الحرمين الشريفين ورعاه وشكرا قدمه دعم بدايه الجائحه وحرصه سلامه المواطنين والمقيمين بعلاجهم وحصولهم اللقاح مجانا وأمره ببذل الغالي والنفيس اجل صحتنا الله يطول بعمرگ الملك يتلقى لقاح كورونا,0,0,0,0,0,1,1,1,0,0,0,1,1
اسرائيل تكشف فعاليه لقاح كورونا وتثير اسئله حول الاستراتيجيه البريطانيه اندبندنت عربيه تغنيك,0,0,0,0,0,1,0,1,0,0,0,2,1
فتره كورونا استمرار الرواتب الحكوميين دعم القطاع الخاص للمواطن وللمقيم توفير مؤونه وعدم انقطاعها علاج مجاني للمقيم وللمواطن تلقي اللقاح مجاني للمقيم وللمواطن دوله سوت نفسنا الحمدلله حكمه القياده والحمدلله السلامه ياوالدنا الملك يتلقى لقاح كورونا,0,0,0,0,0,1,1,1,0,0,0,0,1
بالمنطق وبعيدا الكيديه الدوله اللبنانيه اعطاء لقاح كورونا للاجئين السوريين والفلسطينيين غيرهم بسبب الاكتظاظ السكاني ضمن المخيمات يصعب السيطره الفيروس حال انتشاره اضافه الى عدم توفر ادنى السبل الوقائيه لديهم للحد انتشاره,0,0,0,0,0,1,0,1,0,0,0,7,1
شاكره لنعمه وجودي دوله تسعى لتأمين اللقاح لكافه الموجودين ارضها نهايه العام دعونا ننسى فقراء اللقاح اكثر مئه دوله تحصل اي دفعه وإلى ان يتم احتواء الوباء عالميا تتهاونوا الاجراءات الوقائيه لقاح قطر التزم بالكمامه كورونا,0,0,0,0,0,1,0,1,0,0,0,7,1
افضل عقار لكورونا العقار اللى انت ساكن واحسن لقاح لكورونا انك تتلقح فى العقار,0,0,0,0,0,1,0,1,0,0,0,7,0
رابطه اطباء غازي عنتاب عدد الأطباء السوريين العاملين المراكز الصحيه التابعه لوزراه الصحه التركيه غازي عنتاب تلقوا الجرعه الأولى لقاح كورونا,0,0,0,0,0,1,0,1,0,0,0,0,1
العاهل السعودي يتلقى لقاح كورونا وفيديو يرصد الحدث عاجل,0,0,1,0,0,1,1,1,0,0,0,0,1
النائب الحزب الديمقراطي الامريكي ماري نيومان تطالب نتنياهو بتوفير لقاح كورونا للاسرى الفلسطينيين ردا قرار حكومته استثناءهم برنامج التلقيح نيومان سبق ان اصدرت موقفا مناهضا لسياسات الاستيطان وحصار غزه وجرائم الاحتلال ضد الفلسطينيين,0,0,0,0,0,1,0,1,0,0,0,3,1
زمن الجمهوريه الإسلاميه الإيرانيه العظمى ابتداء القوه الإيمانيه والعلميه تمتلكها الى القوه العسكريه اللا متناهيه الى قوه الحب زرعتها قلوب الأحرار العالم العالم انتظروا واستبشروا فالفرج ات محاله لقاح امن,0,0,0,0,0,0,0,1,0,1,0,8,0
التنظيم والنظام والمهنيه والبشاشه وجهود وزاره الصحه الجباره تظهر بوضوح خلال ملامح الرضى والتبسم المرسومه ملامح متلقي لقاح كورونا,0,0,0,1,0,1,0,1,0,0,0,0,1
سيأتي دوله امينه لقاح امن,0,0,0,0,0,0,0,1,0,1,0,0,1
فضيحه العيار الثقيل سيد توكل يفضح خطه نظام السيسي لتوزيع لقاح فايزر للمسؤولين اللقاح الصيني للشعب ملفات مكملين,0,0,0,0,0,0,0,1,1,0,0,2,1
اعلان تعلن اداره المدرسه متمثله بممرضات الصحه المدرسيه بدأ تطعيم طلاب الصف السادس ضد مرض التيتانوس الديفتيريا يرجى حضور الفئه المستهدفه للمدرسه يوم الثلاثاء خلال فتره الدوام المدرسي متقيدين بتطبيق البروتوكول الصحي للحد انتشار كورونا,0,0,0,0,0,1,0,0,0,0,1,0,1
دراسه لقاح فايزر يبدو فعالا كورونا المتحور,0,0,0,0,0,1,0,1,1,0,0,0,1
عاجل دراسه طبيه لجامعه تكساس الأمريكيه تؤكد لقاح فايزر فعال ضد السلاله المتحوره كورونا ظهرت بريطانيا وجنوب افريقيا امريكا,0,0,1,0,0,1,0,1,1,0,0,0,1
مواطنه عمرها عام تتلقى لقاح كورونا عميد الامارات,0,0,0,0,0,1,0,1,0,0,0,7,1
مباشره الأن وصول الطائره العسكريه الى مطار بوفاريك والتي متنها اول دفعه لقاح سبوتنيك قادمه العاصمه الروسيه موسكو,0,0,0,0,0,0,0,1,1,0,0,0,1
بسوق عالغبيري لاقوا قاح كورونا لبنان حقنه زوم سردين وهياهم عايشين بشكل طبيعي,0,0,0,0,0,1,0,0,0,0,0,7,1
الشرق عاجل استقاله منصف السلاوي رئيس فريق البيت الأبيض المكلف بتطوير لقاح كورونا عاجل,0,0,1,0,0,1,0,1,0,0,0,0,0
لقاح فايزر بيوانتك وفق لبيانات شركه فايزر المنشوره لقاحها فعال بنسبه تقريب الجرعه الأولى,0,0,0,0,0,0,0,1,1,0,0,0,1
امير سعودي يجيب اتهام بحصوله واسطه لتلقي لقاح مضاد لكورونا,0,0,0,0,0,1,0,1,0,0,0,0,1
افضل عقار لكورونا العقار الي انت وأحسن لقاح لكورونا انك تتلقح بنفس العقار وقايه,0,0,0,0,0,1,0,1,0,0,0,7,-1
اهم یقدمه موقع مجاهدي خلق الإیرانیه ینایر ايران العقوبه التلقائيه لعدم شراء لقاح كورونا كورونا وزاره الخارجيه الأمريكيه تدرج الحوثيين اليمنيين وثلاثه قادتهم قائمه الإرهاب عمليه اعدام اعدام سجينا سياسيا ايران عام,0,0,0,0,0,1,0,1,0,0,0,0,0
لقاح كورونا كنيسه انجلترا تتهم الاتحاد الأوربي بمخالفه المسيحيه رابط تخطي الحجب للمزيد,0,0,0,0,0,1,0,1,0,0,0,8,0
عاجل الرئيس الأمريكي جو بايدن سنعمل تطعيم مليون شخص باللقاح المضاد لكورونا خلال المئه يوم الأولى فترتي الرئاسيه وجهت حكام الولايات والوكالات الفيدراليه بالتنسيق المشترك لمواجهه جائحه كورونا سأوقع اعلانا تنفيذيا بتعويض الولايات بسبب تداعيات كورونا,0,0,1,0,0,1,0,1,0,0,1,2,1
عاجل فرنسا توصي باستخدام لقاح استرازينيكا المضاد لكورونا لمن اقل عاما فقط,0,0,1,0,0,1,0,1,1,0,0,2,1
عضو لجنه الأوبئه عزمي محافظه للمملكه الحوامل والمرضعات واللاتي يخططن للحمل يستثنين اخذ مطعوم كورونا عاجل الأردن حكايه عام المملكه,0,0,1,0,0,1,0,0,0,0,0,0,1
الحكومه وصول الف جرعه لقاح استرازينيكا فى كورونا للتفاصيل,0,0,0,0,0,1,0,1,1,0,0,2,1
كامالا هاريس تتلقي الجرعه الثانيه لقاح كورونا,0,0,0,0,0,1,0,1,0,0,0,1,1
اهداء لوالدنا وقائدنا الملك يتلقى لقاح كورونا برد سلام رب فاجعل نفعها عمر مديد يدوم سناه الملك سلمان حروف بصوتي علي مشيبه,0,0,0,0,0,1,1,1,0,0,0,1,1
الملك يتلقى لقاح كورونا لاحظوا مده المقطع ثانيه فقط راقب ساعته مرتين وهناك قاعده تحث الدقه تقول اضبط ساعتك مواعيد سلمان لأنه معروف ان امير الرياض بدقه مواعيده وإهتمامه بالوقت اللهم احفظه بعينك لاتنام,0,0,0,0,0,1,1,1,0,0,0,1,1
بيل غيتس يجب الا نعود كنا رغم اننا سيكون بمقدرتنا صنع لقاحات بسرعه بفضل التقنيه الجديده الموجوده لقاح فايزر علينا ان نكون مستعدين للوباء القادم ونريد ان نستثمر الفحوصات وفي فريق متكامل نسميه فريق اطفاء الوبائيات يذهب يوجد الوباء الجديد,0,0,0,0,0,0,0,1,1,0,0,0,1
تعليق مدير منظمه الصحه العالميه اكثر مليون جرعه اللقاح تم اعطاؤها يقل دوله دخل مرتفع وهناك جرعه فقط اعطيت احد البلدان الدخل المنخفض سلملي كوفاكس وال مليار لقاح تبع الفقراء هيك,0,0,0,0,0,0,0,1,0,0,0,0,1
الشرق عاجل مصر تمنح الترخيص الطارئ لاستخدام لقاح كوفيشيلد استرازينيكا عاجل,0,0,1,0,0,0,0,1,1,0,0,0,1
اصابه شخصا بشلل فى الوجه تلقيهم لقاح كورونا بإسرائيل,0,0,0,0,0,1,0,1,0,0,0,0,-1
خبر سعيد للعالم مختبر بايونتيك بيان رسمي لقاح كورونا فايزر يتمتع بفعاليه ضد السلاله البريطانيه والجنوب افريقيه كورونا المتحور رسميا خوف بإذن الله يأخذ اللقاح اي سلاله لكورونا,0,0,0,0,0,1,0,1,1,0,0,0,1
اتصالات الجزائر روسيا لتصنيع لقاح سبوتنيك الجزائر,0,0,0,0,0,0,0,1,1,0,0,0,1
الوزير الأول وسط المواطنين يتقدم لتلقي لقاح سبوتنيك الروسي,0,0,0,0,0,0,0,1,1,0,0,1,1
فايزر تتوقع مبيعات بقيمه مليار لقاح كورونا,0,0,0,0,0,1,0,1,1,0,0,0,1
الصحه ظهور حاله محصن الجواز الصحي بتطبيق توكلنا تلقي الجرعه الثانيه لقاح كورونا الوطن اكثر,0,0,0,0,0,1,0,1,0,0,0,0,1
الصوره الكريمه لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز ابلغ الكلام وهي تقطع يشكك استخدام اللقاح الملك يتلقي لقاح كورونا العميد متقاعد حسن الشهري احداث,0,0,0,0,0,1,0,1,0,0,0,0,1
قريبتي تلقت الجرعه الثانيه لقاح فايزر اسبوع الجرعه الثانيه اتت نتيجه فحص ايجابيه اللقاح بدأ يعمل ضد كورونا اواخر اسابيع الحمل,0,0,0,0,0,1,0,1,1,0,0,7,1
دراسه لقاح فايزر بيونتيك فعال ضد كورونا المتحور,0,0,0,0,0,1,0,1,1,0,0,0,1
بالفيديو وفاه شخصا تلقي لقاح كورونا النرويج والسبب,1,1,0,0,0,1,0,1,0,0,0,0,-1
اللقاح للبناني اولا امس مشاهيركم عندنا يتسولون لقاح واليوم صرتوا اولا شلون,0,0,0,0,0,0,0,1,0,0,0,7,0
الحمدلله اخذت شوي الجرعه الثانيه لقاح كورونا الله ينفع يارب والله يعز دولتنا وحكومتنا شيء يقدمونه,0,0,0,0,0,1,0,1,0,0,0,7,1
اعلن رئيس البلديه ابي بيناي ان مدينه مكاتي حصلت مليون جرعه لقاح استرازينيكا كورونا,0,0,0,0,0,1,0,1,1,0,0,0,1
اللقاح للبناني اولا ردا كميه الاستفراغ العنصري بالهاشتاغ انا لبناني بتبرع لقاح مدفوع لاجى بالاراضي اللبنانيه ذوي الامراض المزمنه يتامن اللقاح المدفوع مين يساعدني بتحديد المستفيدين,0,0,0,0,0,0,0,1,0,0,0,7,1
فيديو واس السفير الأمريكي المملكه عقب تلقيه لقاح كوررنا كورونا اؤكد للمجتمع الأمريكي ان اللقاح امن وفعال والتنظيم والكفاءه السعوديه شهدتهما اليوم كانا غايه الروعه نعود بحذر واس عام,0,0,0,0,0,1,0,1,0,1,0,1,1
هروله الحكومه العراقيه لقاح فايزر الأمريكي امريكا الدوله لحد تتصد العالم بالإصابات خطوه مشبوهه خلفها مصالح امريكيه كسب المال وأطراف حكوميه فاسده تشتري الجرعات بأسعار مضاعفه تشتريه باقي الدول الل قاح نريد لقاح امن,0,0,0,0,0,0,0,1,1,1,0,2,1
الدوله الشعب هايجين البارحه لان وحده المستشفيات ورا لقحت الستاف بقه لقاح ال فايزر لازم يستخدم خلال ايام تذويبه المهم فه جانت حتخلص ال ايام بذيج الليله فابو المستشفى ملقح كرايب العاملين ضمنهم جهاله ثنين كتب رساله اعتذار يابه جان حيروح بالزبل,0,0,0,0,0,0,0,1,1,0,0,0,1
الرئيس دياب ترأس اجتماع اللجنه الوزاريه لمتابعه خطه لقاح وباء كورونا صرخه الناس مفهومه ومسموعه ونحن بحاجه للصبر ايام معدوده نبدأ نلمس نتائج نريد اهدار الإقفال بقرارات متسر عه,0,0,0,0,0,1,0,1,0,0,0,0,1
روسيا تعلن ان لقاح كورونا الثاني معهد فيكتور فعال بنسبه عاجل كورونا المملكه,0,0,1,0,0,1,0,1,0,0,0,0,1
الجزائر عمليه انتاج لقاح سبوتنيك تنطلق الأسابيع المقبله,0,0,0,0,0,0,0,1,1,0,0,0,1
نائب امير الرياض يتلقى الجرعه الأولى لقاح كورونا,0,0,0,0,0,1,1,1,0,0,0,1,1
ابو هشيمه يتبرع مليون الهواء مبدئيا لصندوق تحيا مصر لتوفير لقاح كورونا فيديو,0,0,0,0,0,1,0,1,0,0,0,0,1
الاتحاد الأوروبي يوافق لقاح استرازينيكا المضاد لكورونا لمن عاما,0,0,0,0,0,1,0,1,1,0,0,2,1
قدمت الإمارات اكثر ملايين الف جرعه لقاح كورونا الله يحفظك وطني مجهوداتك اخترت التطعيم يدا نتعافى,0,0,0,0,0,1,0,1,0,0,1,2,1
عاجل تلقى خادم الحرمين الشريفين الجرعه الأولى لقاح كورونا كورونا يدا نتعافى عينك العالم,0,0,1,0,0,1,0,1,0,0,0,0,1
انقره اردوغان يتلقى جرعه اولى لقاح كورونا التفاصيل,0,0,0,0,0,1,1,1,0,0,0,1,1
عندما ينزل الدجال سيكون مكتوب جبينه كافر ومع يتبعه خلق كثير بد ان الناس حينها تعرضوا لسحر او ربما لقاح نوع,0,0,0,0,0,0,0,1,0,0,0,7,-1
بشاره رياده علميه وطنيه معهد الأبحاث الطبيه بجامعه الإمام عبد الرحمن بن فيصل بالمنطقه الشرقيه توصل الى لقاح ضد كورونا بقياده ايمان المنصور دكتوره الهندسه الطبيه الحيويه والتقنيه ثقتي هذااللقاح اكبر غيره لانتفاء التنافس التجاري وعدم التسرع الإعلان عنه,0,0,0,0,0,1,0,1,0,0,0,0,1
قالت اشتقتلكن اخدت لايك ليش شو شو شو عملت للحياه مثلا لقاح كورونا اخد هلقد,0,0,0,0,0,1,0,1,0,0,0,8,0
لله الحمد تلقيت الجرعه الثانيه لقاح كورونا منسوبي وزراه الصحه ابناء بنات الوطن يستحقون الشكر التقدير حسن التنظيم تعاملهم الراقي اخلاقهم الرفيعه الحمد الشكر لله اكرمني بوطن يقدم الانسان شيء وطن يفرق مواطن مقيم المخالف,0,0,0,0,0,1,0,1,0,0,0,7,1
الصحه تعلن تقديم جرعه لقاح كورونا خلال الساعات ال الماضيه والعدد الإجمالي اليوم جرعه وام,0,0,0,0,0,1,0,1,0,0,0,0,1
وفاه اشخاص تلقوا لقاح كورونا والسلطات الصحيه الأوروبيه تنفي علاقه بأعراض التطعيم العربي اليوم,1,1,0,0,0,1,0,1,0,0,1,0,-1
اوكي انا باغي ولاد باغي نتزوج ممكن منديرش لقاح,0,0,0,0,0,0,0,1,0,0,0,8,0
فسروها انتوا بقى تطعيمه بجرعتين لقاح فايزر كبير حاخامات تل ابيب يصاب بكورونا المدهش ان الشركه المنتجه اخدت براءه اى عوارض جانبيه الموت والاكثر دهشه انها قالت لابد ارتداء الكمامه التطعيم ههه التطعيم ده شكله مايه الجلد بيلموا بيها فلوس,0,0,0,0,0,1,0,1,1,0,1,1,-1
العالم عم تتشكر بلدا كرمال لقاح كورونا ونحن هون عارفين اذا رح نموت الجوع او المرض بكل الاحوال صباحو,0,0,0,0,0,1,0,1,0,0,0,9,0
حرمان المواطنين الإيرانيين اللقاح ينذر بمآلات خطيره خامنئي عدو مشترك لقاح كورونا لقاح فايزر لقاح كورونا لقاح كورونا,0,0,0,0,0,1,0,1,1,0,0,0,0
روسيا والجزائر تعاون لإنتاج لقاح سبوتنيك روسيا الجزائر,0,0,0,0,0,0,0,1,1,0,0,0,1
الحمدلله نعمه المملكه لعربيه السعوديه تم التطعيم بالجرعه الاولى لقاح كورونا الله ينفع احتراف تنظيم حفاوه سلاسه شكرا وزاره الصحه شكرا وطني,0,0,0,1,0,1,0,1,0,0,1,7,1
مصر هتستخدم لقاح نصر المطور فى معامل القوات المسلحه,0,0,0,0,0,0,0,1,0,0,0,0,1
اعلنت الحكومه السوريه قليل عدم تها شراء لقاح كورونا للشعب السوري لأنه يتم تهريبه لبنان الأسبوع الأول شهر,0,0,0,0,0,1,0,1,0,0,0,0,0
مليون جرعه التلقيح حول العالم اكثر ملايين الإمارات وهي اكثر الدول العالم نجحت استراتيجيا ولوجيستيا وإنسانيا مكافحه الفيروس اللعين دخلت اليوم مكتبي محصنه بجرعتي لقاح يغبطني عليهما اصدقاء واشنطن ولندن ومدن اخرى مازالت تحاول استدراك ارتباكها,0,0,0,0,0,0,0,1,0,0,0,2,1
عمليه شراء لقاح كورونا تركيا تم بشكل سري ومغلق لانه مخصص لمؤيدين سياسه اردوغان والمعارضين الى الجحيم,0,0,0,0,0,1,0,1,0,0,0,0,1
يتلقى السفير الأمريكي جون ابي زيد الجرعه الثانيه لقاح كورونا وقد السفير ابي زيد خلال زيارته لمركز اللقاح اود ان اؤكد للمجتمع الأمريكي ان اللقاح امن وفعال ان التنظيم والكفاءه السعوديه شهدتهما اليوم كانا غايه الروعه,0,0,0,0,0,1,1,1,0,1,0,1,1
عبدالله بن دفنا تلقيه اول جرعه لقاح كورونا انصح الجميع بالتطعيم حفاظ سلامتهم وسلامه اسرهم اخترت التطعيم,0,0,0,0,0,1,0,1,0,0,1,1,1
لقاح كورونا بريشه دعاء العدل,0,0,0,0,0,1,0,1,0,0,0,9,0
وزيره الصحه مصر اول دوله افريقيه تبدأ التطعيم بلقاحات كورونا العربيه,0,0,0,0,0,1,0,1,0,0,1,0,1
